Month,Agency,Contact Type,Total
09/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,124
09/01/2020,NYCT Other,Physical Contact,1
09/01/2020,NYCT Other,Non Physical Contact,1
09/01/2020,B&T,Physical Contact,0
09/01/2020,B&T,Non Physical Contact,0
10/01/2020,NYCT Subway/SIR,Physical Contact,17
10/01/2020,NYCT Subway/SIR,Non Physical Contact,75
10/01/2020,NYCT Bus/MTA Bus,Physical Contact,44
10/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,129
10/01/2020,NYCT Other,Physical Contact,2
10/01/2020,NYCT Other,Non Physical Contact,3
10/01/2020,B&T,Physical Contact,1
10/01/2020,B&T,Non Physical Contact,0
11/01/2020,NYCT Subway/SIR,Physical Contact,21
11/01/2020,NYCT Subway/SIR,Non Physical Contact,64
11/01/2020,NYCT Bus/MTA Bus,Physical Contact,29
11/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,105
11/01/2020,NYCT Other,Physical Contact,4
11/01/2020,NYCT Other,Non Physical Contact,1
11/01/2020,B&T,Physical Contact,0
11/01/2020,B&T,Non Physical Contact,0
12/01/2020,NYCT Subway/SIR,Physical Contact,17
12/01/2020,NYCT Subway/SIR,Non Physical Contact,46
12/01/2020,NYCT Bus/MTA Bus,Physical Contact,39
12/01/2020,NYCT Bus/MTA Bus,Non Physical Contact,113
12/01/2020,NYCT Other,Physical Contact,2
12/01/2020,NYCT Other,Non Physical Contact,1
12/01/2020,B&T,Physical Contact,2
12/01/2020,B&T,Non Physical Contact,1
01/01/2021,NYCT Subway/SIR,Physical Contact,15
01/01/2021,NYCT Subway/SIR,Non Physical Contact,61
01/01/2021,NYCT Bus/MTA Bus,Physical Contact,31
01/01/2021,NYCT Bus/MTA Bus,Non Physical Contact,114
01/01/2021,NYCT Other,Physical Contact,4
01/01/2021,NYCT Other,Non Physical Contact,2
01/01/2021,B&T,Physical Contact,0
01/01/2021,B&T,Non Physical Contact,0
02/01/2021,NYCT Subway/SIR,Physical Contact,14
02/01/2021,NYCT Subway/SIR,Non Physical Contact,56
02/01/2021,NYCT Bus/MTA Bus,Physical Contact,27
